Electivos Disponibles,Cantidad de Inscritos,Cupo Disponible,Cupo Asignado
Área A: Comprensión Histórica del Presente,0,25,25
"Área B: Límites, Derivadas e Integrales",0,25,25
Área C: Interpretación Musical,0,25,25
Área A: Taller de literatura,0,25,25
Área B: Biología celular y molecular.,0,25,25
Área B: Pensamiento computacional y programación.,0,25,25
"Área C: Artes visuales, audiovisuales y multimediales.",0,25,25
Área A: Lectura y escritura especializada,0,25,25
Área B: Química,0,25,25
Área C: Ciencias del ejercicio físico y deportivo,0,25,25
"Historia, Geografía y Cs. Sociales",0,25,25
Arte Visuales,0,25,25
